d1,c1,d2,c2,d3,c3,class
32,0.81,52,0.428,35,0.785,8
32,0.8,52,0.428,35,0.795,8
8,0.285,27,0.18,35,0.75,15
8,0.284,27,0.183,35,0.74,8
8,0.284,27,0.18,35,0.78,8
8,0.282,27,0.18,35,0.8,8
8,0.28,27,0.18,35,0.8,8
8,0.28,27,0.18,35,0.81,15
8,0.275,27,0.18,35,0.8,15
7,0.27,27,0.196,35,0.75,8
7,0.268,27,0.193,35,0.737,8
32,0.327,27,0.14,35,0.877,15
32,0.319,27,0.15,35,0.845,15
34,0.835,48,0.375,64,1.41,4
34,0.85,48,0.363,64,1.45,4
29,0.375,66,0.88,71,0,16
29,0.375,66,0.875,71,0,16
29,0.39,66,0.87,71,0,16
7,1.97,21,0.137,64,1.85,4
7,1.97,21,0.137,64,1.85,4
32,0.039,42,1,51,1.62,13
32,0.0395,42,1,50,1.63,13
32,0.039,42,1,50,1.66,13
16,0.03,55,1.5,66,0.55,15
16,0.028,56,1.53,66,0.56,15
16,0.03,55,1.54,66,0.53,15
55,0.262,29,0.0045,71,0,14
16,0.0025,60,2.2,71,0,16
16,0.0028,60,2.13,71,0,16
16,0.0029,60,2.14,71,0,16
16,0.0028,60,2.1,71,0,16
55,0.13,66,0.35,71,0,11
55,0.127,66,0.35,71,0,11
55,0.125,66,0.35,71,0,11
55,0.13,66,0.36,71,0,11
42,0.58,50,2.8,46,0.315,13
42,0.58,50,2.88,46,0.315,13
42,0.56,50,2.68,46,0.25,13
16,0.0136,50,0.039,71,0,5
16,0.0133,50,0.038,71,0,5
16,0.014,50,0.04,71,0,5
3,0.035,4,0.09,71,0,5
7,0.875,46,0.4,52,0.183,13
7,0.87,46,0.41,52,0.18,13
32,0.11,53,1.2,71,0,13
32,0.1,53,1.3,71,0,13
32,0.105,53,1.1,52,0.008,13
32,0.108,53,1.118,52,0.0083,13
18,0.2,27,0.178,35,0.603,12
18,0.197,27,0.177,35,0.605,15
14,0.15,42,0.03,71,0,12
14,0.15,42,0.028,71,0,12
7,0.3521,48,0.296,64,1.204,4
16,0.012,60,3,66,0.4,4
16,0.0125,60,3,66,0.41,8
3,0.0165,4,0.0086,5,0.063,14
10,0.016,4,0.0086,5,0.063,14
3,0.0165,4,0.0086,5,0.0645,14
18,0.026,28,0.188,59,0.38,11
18,0.026,28,0.188,59,0.38,11
18,0.028,28,0.19,59,0.375,11
18,0.028,28,0.19,59,0.375,11
4,0.015,5,0.0084,71,0,5
4,0.017,5,0.01,71,0,5
4,0.016,5,0.009,71,0,5
7,1.28,48,1.62,64,1,8
7,1.315,48,1.63,64,1.05,8
2,1.3,48,1.56,64,1,8
7,1,48,1.223,64,0.85,8
16,0.093,50,1.08,52,0.226,13
16,0.095,50,1.07,52,0.232,13
16,0.1,53,1.009,71,0,13
16,0.11,53,0.957,71,0,13
16,0.105,53,1.03,71,0,13
16,0.106,53,1.05,71,0,13
16,0.0025,29,0.023,71,0,5
66,0.08,33,0.0265,71,0,14
